Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Conspiracionista?,Post Negacionista?
drluanaaraujo,https://www.instagram.com/drluanaaraujo?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Médica,1,https://www.instagram.com/reel/DF7pfzdNuWD/?utm_source=ig_web_copy_link,As novas vacinas possuem mais perguntas do que respostas: agora com chip incorporado,1,1,1
drfredericomg,https://www.instagram.com/drfredericomg,0,0,1,Médico oncologista; Deputado federal,1,https://www.instagram.com/reel/C8aZti0sq7W,"O deputado exige transparência quanto aos efeitos colaterais da vacina da Covid-19 — o marquei como ""provax"" pois ele usa esses efeitos da vacina da Covid-19 como causa da desconfiança em outras vacinas, que não parece menosprezar.",,,
drzachariascalil,https://www.instagram.com/drzachariascalil/,0,0,0,Médico cirurgião pediátrico; Deputado Federal,1,https://www.instagram.com/reel/DCFqYt0t9DD,"Outro deputado, questionando a mudança das vacinas aplicadas tradicionalmente em formato de gotas para injeção — concebendo o movimento como uma parceria da ""Fiocruz ao laboratório privado"" (como não citou a ""indústria farmacêutica"", a ""Big pharma"", não considerei conspiracionista.",,,
farmacologiamemes,https://www.instagram.com/farmacologiamemes,0,0,0,Farmacólogo,1,https://www.instagram.com/reel/DFsmPGdpref,"Uma página de memes de farmácia, quesitonando a ideia que vacinas causam autismo.",,,
pediatriaintegralbr,https://www.instagram.com/pediatriaintegralbr,0,0,0,Médico pediatra,1,https://www.instagram.com/reel/C0B7Q-vu5Kw,"Vídeo a respeito da ""pneumonia 'silenciosa'"" no Brasil e o ""surto de pneumonia na China""",,,
leandroruschel,https://www.instagram.com/leandroruschel,0,0,0,Empreendedor(a),1,https://www.instagram.com/reel/C4tIehprPW-,"Um empreendedor denunciando a ""perseguição"" do ex-presidente dada as ilegalidades dos inquéritos ""sobre cartão de vacinas de Bolsonaro"".",,,
dreltonjr,https://www.instagram.com/dreltonjr,0,0,0,Deputado Estadual; Médico,1,https://www.instagram.com/reel/DGA4yWLOA3r,"É um deputado de direita, mas nem esse vídeo nem outros indicam uma posição antivax, apesar de ser provável que apresente discursos negacionistas.",,,
cleitinhoazevedo,https://www.instagram.com/cleitinhoazevedo,0,0,0,Senador,1,https://www.instagram.com/p/DE74hcYvTVU,"Denúncia da ""queima"" de medicamentos pelo governo Lula — não encontrei nada antivax no perfil.",,,
generalpazuello.oficial,https://www.instagram.com/generalpazuello.oficial,1,0,1,Deputado Federal; General,1,https://www.instagram.com/p/DEqiwGrtg4h/,"Perfil de Eduardo Pazuello, general e ex-ministro da saúde durante a gestão Bolsonaro.",,,
danielborges.rs,https://www.instagram.com/danielborges.rs,1,0,1,Criador(a) de conteúdo digital; Político,1,https://www.instagram.com/p/DFy8wgaNcRw,Astrazeneca admite efeitos colaterais da vacina da Covid-19.,,,
acorda.portugal,https://www.instagram.com/acorda.portugal,1,1,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/reel/DFI0zeXopvE,"Diz o título do vídeo: ""A TECNOLOGIA DE MRNA É UMA ARMA BIOLÓGICA QUE FOI CRIADA PARA FERIR E ABATER SERES HUMANOS"", com uma série de pessoas desfalecendo ao fundo, todas associadas a Pfizer.",,,
